	GSM3038876_M-17-1.CEL	GSM3038877_M-17-2.CEL	GSM3038878_M-17-3.CEL	GSM3038879_S-17-1.CEL	GSM3038880_S-17-2.CEL	GSM3038881_C-17-1.CEL	GSM3038882_C-17-2.CEL	GSM3038883_C-17-3.CEL	GSM3038884_M-24-1.CEL	GSM3038885_M-24-2.CEL	GSM3038886_M-24-3.CEL	GSM3038887_S-24-1.CEL	GSM3038888_S-24-2.CEL	GSM3038889_S-24-3.CEL	GSM3038890_C-24-1.CEL	GSM3038891_C-24-2.CEL	GSM3038892_C-24-3.CEL	GSM3038893_M-49-1.CEL	GSM3038894_M-49-2.CEL	GSM3038895_M-49-3.CEL	GSM3038896_S-49-1.CEL	GSM3038897_S-49-2.CEL	GSM3038898_S-49-3.CEL	GSM3038899_C-49-1.CEL	GSM3038900_C-49-2.CEL	GSM3038901_C-49-3.CEL
Solyc11g013100.1	10.19276163	9.942789157	9.604294577	9.668657951	9.816241045	10.3921085	10.3364131	9.851047643	9.837355149	10.18701257	10.13328926	10.18823794	10.43641467	9.996421645	10.46576353	10.05120197	10.53541959	10.27653501	9.871269492	10.05265989	10.26709204	10.48020704	10.38138173	10.31313007	10.164617	9.990248329
Solyc11g013110.1	5.231499916	5.027749465	5.510510835	5.241621859	5.163328813	5.568106626	5.492182328	5.501080466	4.649961882	5.429020614	5.246052293	5.546522602	6.513059704	5.734620942	6.088960934	5.533638631	5.952434192	5.264906061	4.960800662	5.854476948	6.070584023	5.861209415	6.670681923	5.076707302	5.163142025	5.80875833
Solyc11g013170.1	7.917963646	7.824441155	6.609352438	6.287399772	8.239512445	7.632180112	7.887546609	7.351623028	8.264553861	8.135848718	7.882232288	8.316642292	7.472851367	8.880817855	7.988447393	5.693726395	7.184332264	8.098287456	7.154466708	7.56914486	8.164948587	7.81280112	8.38761359	8.023564947	7.810277835	8.158632648
Solyc11g013260.1	9.386821399	8.478948081	7.973086427	7.078430373	8.609928258	8.932399614	9.092225965	7.90130106	9.289674223	9.27507667	8.854874281	9.073898059	8.755868942	9.026706492	9.241115178	7.100013837	8.364032174	9.286369336	8.691849425	8.156680373	8.706182515	9.060342581	9.550130362	9.426203002	9.542512621	8.939115977
Solyc11g013310.1	7.97237868	6.667138397	6.328329553	5.922122185	6.738912719	7.446978724	7.733363973	6.614627386	6.765945471	7.970304594	7.504091209	7.730527188	6.805365114	7.423424039	7.587648866	6.691723096	6.878373506	7.648638727	7.311776841	6.834109149	7.128005727	7.478017914	7.77658192	7.880546111	8.149204743	6.682545487
Solyc11g013330.1	7.184058973	8.35322501	8.374217514	8.748505961	8.528251705	7.184058973	6.774308753	7.470325361	7.44522915	7.46353812	8.165844939	8.004522507	7.237943042	8.398000628	5.975353127	8.684471507	7.74334963	6.637514087	6.997270945	7.423097269	7.066540705	7.272302807	6.908837441	6.946234402	7.270598351	7.925345796
Solyc11g013490.1	7.607399539	6.859618022	6.040921548	5.776888206	6.683273767	7.350689805	7.384631925	6.401836957	7.294628258	7.632288051	7.394098372	7.474993896	6.821008885	7.151689347	7.431263178	6.2280086	6.93506851	7.150266151	6.719589344	6.522302897	6.809739061	7.150826536	7.671359588	7.571858254	7.478786432	6.933058935
Solyc11g013520.1	7.235336797	7.686019922	7.451843109	7.123095461	7.523552969	7.525072604	7.76902561	7.480845799	7.640889784	7.398999232	7.605995081	7.369504017	7.62676016	7.280262569	7.563110303	7.656668171	7.54476674	7.616215808	7.685610207	7.033137717	7.308953859	7.393441336	7.302963123	7.509770259	7.495134108	7.542343117
Solyc11g013760.1	8.001261902	8.301755396	8.389679762	9.445605141	8.734433059	6.894944911	7.249080215	8.493331134	7.175112233	7.451745976	7.735155709	8.293682718	8.178700186	8.0160318	7.896582509	8.672603825	8.092458339	7.795445837	7.688987168	8.093121215	8.120490228	8.359827388	7.418097846	7.859944604	7.977525896	8.06327689
Solyc11g013810.1	5.894196666	8.05186545	7.269560554	6.942534764	7.665802092	6.570989637	7.821071558	6.498673912	8.597553034	8.941592768	9.562276638	8.992835057	8.101647165	10.20932496	6.841589442	6.66602574	7.005759456	9.086476347	7.4212952	6.173755103	6.149140541	8.124307994	9.347953044	5.815257918	5.941329691	7.277690825
