	GSM2857543_M-17-1.CEL	GSM2857544_M-17-2.CEL	GSM2857545_M-17-3.CEL	GSM2857546_S-17-1.CEL	GSM2857547_S-17-2.CEL	GSM2857548_S-17-3.CEL	GSM2857549_C-17-1.CEL	GSM2857550_C-17-2.CEL	GSM2857551_C-17-3.CEL	GSM2857552_M-24-1.CEL	GSM2857553_M-24-2.CEL	GSM2857554_M-24-3.CEL	GSM2857555_S-24-1.CEL	GSM2857556_S-24-2.CEL	GSM2857557_S-24-3.CEL	GSM2857558_C-24-1.CEL	GSM2857559_C-24-2.CEL	GSM2857560_C-24-3.CEL	GSM2857561_M-49-1.CEL	GSM2857562_M-49-2.CEL	GSM2857563_M-49-3.CEL	GSM2857564_S-49-1.CEL	GSM2857565_S-49-2.CEL	GSM2857566_S-49-3.CEL	GSM2857567_C-49-1.CEL	GSM2857568_C-49-2.CEL	GSM2857569_C-49-3.CEL
Solyc01g098800.2	4.026313876	3.978364539	4.236747732	5.544992783	4.757759355	4.113012284	4.005548443	4.230784326	4.097230408	3.996165466	4.271452573	4.97147016	3.92799683	4.217379681	4.822990973	4.195735185	4.238339467	4.022576299	4.753352251	4.392564231	3.783517988	5.058223243	4.170102848	4.397548656	4.07875116	3.776704415	4.608115823
Solyc01g098840.2	4.855366082	5.253567879	4.847374928	4.775976142	4.979130277	4.739921231	4.685758417	4.728523585	4.641690556	4.633877726	4.639572806	4.144697371	5.591195743	4.106770613	4.041555043	3.817507383	4.819687475	4.431696521	4.536383807	4.085382362	4.936350262	4.916480313	4.71609486	3.983937608	4.575532203	5.002047473	4.601682439
Solyc01g098870.2	6.71017048	6.204511681	6.691110383	7.855611177	7.365788644	6.744518374	6.730581939	6.958783405	7.125649864	6.668741178	6.495494528	7.719563766	6.576694877	6.649437149	7.775226944	6.931933868	6.4580316	6.426053606	7.985244704	7.343796157	7.191446493	7.541036325	7.313143787	7.511713863	6.918339676	6.291938133	7.511605952
Solyc01g098880.2	7.064572806	7.105022955	6.565695855	4.077096892	6.146453184	6.85150008	7.261602232	6.617378599	6.814442633	7.004355132	7.017139927	6.073471371	7.522061549	6.257572637	5.436285038	6.373415336	7.140111084	6.297718009	5.608366862	6.254443657	6.728144726	5.365787671	6.230326275	6.863337611	7.310919875	7.003308575	5.52376499
Solyc01g098900.2	6.849650465	6.861564856	6.833276712	7.239482528	6.757742029	6.962865791	6.864151419	6.848754436	6.987183578	6.621969154	6.889459459	6.716873101	6.663951641	6.714971822	6.922590168	7.000553166	6.910066221	6.908614892	7.002321096	6.817182008	7.102898748	6.856774465	6.903128047	6.912719768	6.863216184	7.031782509	7.012219001
Solyc01g098910.2	5.96545785	5.860055063	6.079663696	7.295118166	7.804343564	6.40134266	5.974501013	6.069892758	6.361097643	6.735216888	6.858958077	7.211119919	5.941693187	6.837781967	6.950352404	6.445638621	6.222425317	6.135399322	7.385423666	7.583077815	7.334087895	9.936862511	8.151855199	7.402349993	6.294935465	6.290269324	7.624045598
Solyc01g098990.2	10.76627253	10.80995085	10.54197893	10.02620061	9.97886291	10.24973996	10.44825553	10.68098964	10.81963821	10.34281367	10.19112423	9.945603766	8.90963496	9.357364878	9.756699211	10.14923145	10.27943009	10.23173101	9.762889832	9.47987503	9.468557508	8.607136163	9.04501603	8.965409443	9.807041371	9.866382446	9.981168251
Solyc01g099010.2	2.551512449	2.835750414	2.731076337	2.79201912	2.597871267	2.791380213	2.877011972	2.610057653	2.551962149	2.543115035	2.565593091	2.552349703	2.811978742	2.640722637	2.444855514	2.435321655	2.459590202	2.671318992	2.598417206	2.536892432	2.781003973	2.507442807	2.792913768	2.626512926	2.681482996	2.782784054	2.607805477
Solyc01g099030.2	2.973042457	3.307501449	2.939595753	2.930214203	2.603823758	3.090987263	3.181450491	2.870580735	3.012954238	2.931225872	2.988128267	2.78764303	3.192080413	2.9044563	2.746604798	2.574662615	2.861805426	3.056110774	2.690304167	2.860781687	3.10644492	2.842991504	2.839795042	2.910950589	2.995803959	3.207952385	2.580811083
Solyc01g099040.2	3.041114221	3.370391675	3.321838948	3.891684681	3.304637258	3.518524091	3.104869264	3.327702906	3.333518353	3.048766229	3.161555639	3.627624149	2.921683659	3.914372493	3.384107928	3.223951462	3.545767965	3.725057821	3.176445802	2.998304233	3.014789559	3.431082444	3.166974161	3.133970815	3.241063763	3.08041803	3.479631721
Solyc01g099140.2	7.530658698	7.531172813	7.168722117	6.820428991	6.991172417	7.187968818	6.870963918	7.447531879	7.496104397	7.096268242	7.208614295	7.361271664	6.964354548	7.038699454	7.615237477	7.164159187	7.162108686	7.45807867	7.395999143	7.30781603	7.040656473	7.164340833	6.781566826	6.768094203	7.121375034	7.119392168	7.392268744
Solyc01g099160.2	4.513389122	4.485120969	4.225180597	5.835624137	6.101742178	4.973265359	4.590948161	5.081028892	4.74958923	4.798551323	4.434146974	4.98721687	5.802029318	8.306080806	6.186779717	4.801019324	4.584096155	4.613698571	6.224558236	5.242608521	5.606503552	7.986900781	6.606815937	9.826529304	5.346755866	5.755024268	5.599458282
Solyc01g099170.2	4.513389122	4.485120969	4.225180597	5.835624137	6.101742178	4.973265359	4.590948161	5.081028892	4.74958923	4.798551323	4.434146974	4.98721687	5.802029318	8.306080806	6.186779717	4.801019324	4.584096155	4.613698571	6.224558236	5.242608521	5.606503552	7.986900781	6.606815937	9.826529304	5.346755866	5.755024268	5.599458282
Solyc01g099190.2	2.960053064	2.520882912	2.650751646	2.924757933	3.324902114	2.942769863	2.420000545	2.885131672	2.946963719	2.444129289	2.274375764	3.57336861	2.621216829	2.805416845	2.940792705	2.804392586	2.705028383	2.72444072	3.42628465	2.841646465	2.730556313	3.717159285	2.975259279	2.797930938	2.785295114	2.385086056	2.730556313
Solyc01g099220.2	3.491794787	3.509634981	3.840458545	4.329350907	4.390856815	3.638231236	3.420209826	3.553104333	3.747694055	3.885007885	3.781331844	4.459790179	3.722595745	4.430901491	4.511692162	3.813217841	3.554629823	3.807092899	4.408919596	4.433530738	4.005559057	5.1045334	4.553335944	4.728548711	3.643275343	3.519746251	4.602327576
Solyc01g099240.2	6.36917941	6.632993637	5.997725795	3.702255619	3.855551933	5.661044017	6.595840037	6.087662438	6.062151659	5.75333959	6.120112821	4.141366089	6.727525112	5.720907432	4.414674031	5.582048289	6.209772788	5.883359378	4.41204938	4.750648223	5.685625397	3.584256375	4.352812417	4.613309017	5.820228531	6.154319823	4.096742927
Solyc01g099280.2	6.555898668	6.679611278	5.1931143	3.816268313	3.551778109	5.075634049	6.876503165	5.575595813	5.739697823	5.585006266	5.547087461	4.292336114	6.669345345	4.640333298	4.285828599	4.993348941	5.993261139	5.419010297	4.477548207	3.981670024	5.235648889	4.869171982	4.086076262	4.411252655	5.881942581	6.337177855	4.583982558
Solyc01g099310.2	5.914468515	5.290006903	6.163328933	6.352278487	6.354271412	5.517013472	5.430347498	5.97660782	5.931757581	5.741003341	5.618287417	6.335198428	5.46231282	6.029274171	6.078501043	5.96659677	6.236541318	6.385674363	6.554480729	6.38849686	5.844411229	6.32485254	6.293724594	6.060367251	6.083082805	6.081235891	6.148833246
Solyc01g099350.2	2.684900626	3.023097683	3.02369787	3.931977427	3.344127036	2.879330541	3.346730031	3.230474416	3.29614882	2.980145821	2.785128767	3.492570374	3.334100992	3.227468659	3.156215881	3.336502319	2.897201216	3.069238031	3.552308501	3.150764863	2.974024291	3.902309941	3.369984495	2.984501527	3.706223277	3.222490373	3.375877568
Solyc01g099410.2	12.71285398	12.33707155	12.7024908	11.47547203	11.84883053	12.43010369	12.63131307	12.59957066	13.08911358	11.75700877	12.78948722	11.76580569	12.65509446	11.33407995	12.13159576	13.09680405	13.23582331	12.84849143	13.0302814	13.39949506	12.8554028	11.17129547	12.4180121	10.98671496	13.69959791	13.46417122	11.06115265
Solyc01g099420.1	3.5369948	3.306244028	3.426655772	4.266955334	3.646621229	3.597903922	3.688818323	3.7264754	3.73788601	3.580702754	3.42898616	3.826490311	3.456503079	3.576415516	3.735747617	3.488814406	3.352641625	3.424240414	3.370452523	3.35139448	3.255945035	3.963220548	3.591353362	3.451012355	3.468181185	3.533458943	3.677446775
Solyc01g099540.2	2.704086806	2.702780986	2.948103832	3.864960987	2.868657472	2.792227613	2.702857649	2.675356452	2.839900949	2.800055771	2.59184445	3.161670776	2.770752105	2.833504452	2.800117637	2.846792634	2.808502863	2.952673257	2.989912111	2.589975436	2.568947078	3.164837528	2.833104803	2.838074147	2.791566261	2.65021496	2.888127289
Solyc01g099630.2	9.907497617	10.20906525	9.664688376	8.604310526	8.686463877	9.513622477	10.10876166	10.29927322	10.15516842	9.02687036	9.181302512	9.299198175	8.743503376	7.682356518	9.182320655	9.123142398	9.535042117	9.322252987	9.747970618	9.446335051	9.754617767	8.775169646	9.051553861	7.932814676	10.22276026	9.877935735	8.851697941
Solyc01g099640.2	7.190074698	6.935186863	7.721573415	8.946127546	8.488612145	7.570609894	7.167338387	7.731853515	7.82059347	7.510322279	7.520220489	8.413058659	6.798329053	7.884307538	8.381630173	8.000061865	7.645452774	7.938717989	8.41561768	7.920359195	7.561902705	8.846665678	8.365412258	7.97500081	7.289660368	7.44707375	8.741769363
Solyc01g099670.2	8.789499318	8.859935752	8.970730064	9.829659033	9.605118704	9.26781935	8.983048511	8.956844484	9.36583147	9.238207864	9.123108272	9.426720089	9.137561344	9.073867453	9.168420896	8.901571327	9.009431647	8.950152586	9.472221	9.30835736	8.921998915	9.75269202	9.428627401	9.229415246	9.415628259	9.119813107	8.877997868
